date,open,high,low,close,volume
2022-12-30 00:00:00.000000,374.54998779296875,377.510009765625,370.30999755859375,377.0299987792969,669300.0
2022-12-29 00:00:00.000000,373.1400146484375,381.3599853515625,372.739990234375,379.8599853515625,787200.0
2022-12-28 00:00:00.000000,369.30999755859375,375.4800109863281,366.32000732421875,367.760009765625,610400.0
2022-12-27 00:00:00.000000,376.260009765625,376.260009765625,368.8599853515625,371.1000061035156,988700.0
2022-12-23 00:00:00.000000,372.239990234375,378.0,367.7200012207031,377.3900146484375,892000.0
2022-12-22 00:00:00.000000,386.0899963378906,386.7799987792969,367.05999755859375,373.8500061035156,2075700.0
2022-12-21 00:00:00.000000,388.80999755859375,398.1300048828125,387.5799865722656,396.7799987792969,1125000.0
2022-12-20 00:00:00.000000,380.7900085449219,389.739990234375,378.4599914550781,385.9100036621094,903400.0
2022-12-19 00:00:00.000000,384.9700012207031,385.82000732421875,379.4200134277344,383.6600036621094,1122800.0
2022-12-16 00:00:00.000000,382.0400085449219,387.760009765625,380.25,385.5400085449219,2360900.0
2022-12-15 00:00:00.000000,398.04998779296875,399.6400146484375,383.25,384.75,2091600.0
2022-12-14 00:00:00.000000,408.3699951171875,414.0400085449219,401.7300109863281,406.2099914550781,1557000.0
2022-12-13 00:00:00.000000,415.6600036621094,419.57000732421875,403.55999755859375,409.0299987792969,2221900.0
2022-12-12 00:00:00.000000,385.3999938964844,401.010009765625,383.7099914550781,400.9100036621094,1555800.0
2022-12-09 00:00:00.000000,391.9100036621094,400.5400085449219,387.6000061035156,393.4100036621094,1380300.0
2022-12-08 00:00:00.000000,391.07000732421875,397.5199890136719,388.20001220703125,395.9200134277344,1130000.0
2022-12-07 00:00:00.000000,379.1600036621094,389.0199890136719,378.44000244140625,388.0899963378906,828000.0
2022-12-06 00:00:00.000000,390.6600036621094,391.3299865722656,380.17999267578125,383.239990234375,1171300.0
2022-12-05 00:00:00.000000,386.4599914550781,392.2300109863281,384.5799865722656,388.57000732421875,1236400.0
2022-12-02 00:00:00.000000,380.6600036621094,391.3599853515625,379.32000732421875,389.55999755859375,921300.0
2022-12-01 00:00:00.000000,395.0,395.9200134277344,383.2699890136719,390.7300109863281,1838000.0
2022-11-30 00:00:00.000000,375.8699951171875,394.82000732421875,372.3599853515625,393.1499938964844,2795100.0
2022-11-29 00:00:00.000000,374.8399963378906,377.010009765625,370.8699951171875,374.3299865722656,813200.0
2022-11-28 00:00:00.000000,375.2099914550781,380.5400085449219,372.95001220703125,374.92999267578125,1413600.0
2022-11-25 00:00:00.000000,382.0,384.5199890136719,380.0,380.0199890136719,624400.0
2022-11-23 00:00:00.000000,380.5,388.8699951171875,380.1000061035156,385.6300048828125,1401000.0
2022-11-22 00:00:00.000000,376.05999755859375,383.1300048828125,369.0,382.17999267578125,1380300.0
2022-11-21 00:00:00.000000,371.6199951171875,376.3500061035156,370.7799987792969,372.1099853515625,1082600.0
2022-11-18 00:00:00.000000,382.55999755859375,382.8399963378906,371.7900085449219,376.3399963378906,1121600.0
